,year,month,day,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend,week_Fri,week_Mon,week_Sat,week_Sun,week_Thurs,week_Tues,week_Wed
0,2016,1,1,45,45,45.6,45,43,50,44,29,1,0,0,0,0,0,0
1,2016,1,2,44,45,45.7,44,41,50,44,61,0,0,1,0,0,0,0
2,2016,1,3,45,44,45.8,41,43,46,47,56,0,0,0,1,0,0,0
3,2016,1,4,44,41,45.9,40,44,48,46,53,0,1,0,0,0,0,0
4,2016,1,5,41,40,46.0,44,46,46,46,41,0,0,0,0,0,1,0
5,2016,1,6,40,44,46.1,51,43,49,48,40,0,0,0,0,0,0,1
6,2016,1,7,44,51,46.2,45,45,49,46,38,0,0,0,0,1,0,0
7,2016,1,8,51,45,46.3,48,43,47,46,34,1,0,0,0,0,0,0
8,2016,1,9,45,48,46.4,50,46,50,45,47,0,0,1,0,0,0,0
9,2016,1,10,48,50,46.5,52,45,48,48,49,0,0,0,1,0,0,0
10,2016,1,11,50,52,46.7,45,42,48,48,39,0,1,0,0,0,0,0
11,2016,1,12,52,45,46.8,49,44,50,45,61,0,0,0,0,0,1,0
12,2016,1,13,45,49,46.9,55,45,51,46,33,0,0,0,0,0,0,1
13,2016,1,14,49,55,47.0,49,43,47,46,58,0,0,0,0,1,0,0
14,2016,1,15,55,49,47.1,48,46,51,46,65,1,0,0,0,0,0,0
15,2016,1,16,49,48,47.3,54,45,52,46,28,0,0,1,0,0,0,0
16,2016,1,17,48,54,47.4,50,45,51,46,47,0,0,0,1,0,0,0
17,2016,1,18,54,50,47.5,54,44,48,49,58,0,1,0,0,0,0,0
18,2016,1,19,50,54,47.6,48,47,49,48,53,0,0,0,0,0,1,0
19,2016,1,20,54,48,47.7,52,44,52,49,61,0,0,0,0,0,0,1
20,2016,1,21,48,52,47.8,52,43,51,46,57,0,0,0,0,1,0,0
21,2016,1,22,52,52,47.9,57,47,48,48,60,1,0,0,0,0,0,0
22,2016,1,23,52,57,48.0,48,45,49,50,37,0,0,1,0,0,0,0
23,2016,1,24,57,48,48.1,51,46,50,48,54,0,0,0,1,0,0,0
24,2016,1,25,48,51,48.2,54,45,51,49,63,0,1,0,0,0,0,0
25,2016,1,26,51,54,48.3,56,44,53,50,61,0,0,0,0,0,1,0
26,2016,1,27,54,56,48.4,57,45,51,49,54,0,0,0,0,0,0,1
27,2016,1,28,56,57,48.4,56,44,52,48,34,0,0,0,0,1,0,0
28,2016,1,29,57,56,48.5,52,48,52,47,49,1,0,0,0,0,0,0
29,2016,1,30,56,52,48.6,48,45,51,48,47,0,0,1,0,0,0,0
30,2016,1,31,52,48,48.7,47,47,52,49,61,0,0,0,1,0,0,0
31,2016,2,1,48,47,48.8,46,46,49,49,51,0,1,0,0,0,0,0
32,2016,2,2,47,46,48.8,51,48,50,50,56,0,0,0,0,0,1,0
33,2016,2,3,46,51,48.9,49,48,49,50,40,0,0,0,0,0,0,1
34,2016,2,4,51,49,49.0,49,44,54,51,44,0,0,0,0,1,0,0
35,2016,2,5,49,49,49.1,53,47,50,49,45,1,0,0,0,0,0,0
36,2016,2,6,49,53,49.1,49,47,53,49,56,0,0,1,0,0,0,0
37,2016,2,7,53,49,49.2,51,46,51,48,63,0,0,0,1,0,0,0
38,2016,2,8,49,51,49.3,57,49,52,50,34,0,1,0,0,0,0,0
39,2016,2,9,51,57,49.4,62,45,52,49,57,0,0,0,0,0,1,0
40,2016,2,10,57,62,49.4,56,48,50,49,30,0,0,0,0,0,0,1
41,2016,2,11,62,56,49.5,55,46,53,50,37,0,0,0,0,1,0,0
42,2016,2,12,56,55,49.6,58,49,52,48,33,1,0,0,0,0,0,0
43,2016,2,15,55,58,49.9,55,46,52,49,53,0,1,0,0,0,0,0
44,2016,2,16,58,55,49.9,56,47,54,51,55,0,0,0,0,0,1,0
45,2016,2,17,55,56,50.0,57,45,51,49,46,0,0,0,0,0,0,1
46,2016,2,18,56,57,50.1,53,47,55,49,34,0,0,0,0,1,0,0
47,2016,2,19,57,53,50.2,51,50,52,51,42,1,0,0,0,0,0,0
48,2016,2,20,53,51,50.4,53,48,55,51,43,0,0,1,0,0,0,0
49,2016,2,21,51,53,50.5,51,49,54,52,46,0,0,0,1,0,0,0
50,2016,2,22,53,51,50.6,51,46,51,50,59,0,1,0,0,0,0,0
51,2016,2,23,51,51,50.7,60,49,53,51,43,0,0,0,0,0,1,0
52,2016,2,24,51,60,50.8,59,47,53,50,46,0,0,0,0,0,0,1
53,2016,2,25,60,59,50.9,61,49,51,49,35,0,0,0,0,1,0,0
